id,i1_overs,i1_limit,i2_overs,i2_limit,is_short,result,pp_i1,pp_i2,full_game,i1_balls,i2_balls
501245,20,balls,10,balls,D/L,i1,6,6,0,120,120
501246,20,balls,20,wickets,0,i1,6,6,1,120,120
501247,20,balls,14,win,0,i2,6,6,1,120,120
501248,20,balls,18,win,0,i2,6,6,1,120,120
501249,20,balls,20,wickets,0,i1,6,6,1,120,120
501250,20,balls,19,win,0,i2,6,6,1,120,120
501251,20,balls,13,wickets,0,i1,6,6,1,120,120
501252,20,balls,17,win,0,i2,6,6,1,120,120
501253,20,balls,20,balls,0,i1,6,6,1,120,120
501254,20,balls,19,win,0,i2,6,6,1,120,120
501255,13,balls,13,win,D/L,i2,6,4,0,check,78
501256,20,balls,20,balls,0,i1,6,6,1,120,120
501257,20,balls,20,balls,0,i1,6,6,1,120,120
501258,19,wickets,8,win,0,i2,6,6,1,120,120
501259,20,balls,20,win,0,i2,6,6,1,120,120
501260,20,balls,17,wickets,0,i1,6,6,1,120,120
501261,20,balls,20,balls,0,i1,6,6,1,120,120
501262,20,balls,17,win,0,i2,6,6,1,120,120
501263,20,balls,14,win,0,i2,6,6,1,120,120
501264,20,balls,19,wickets,0,i1,6,6,1,120,120
501265,11,balls,NA,NA,NR,NA,6,0,0,120,NA
501266,20,balls,18,win,0,i2,6,6,1,120,120
501267,20,balls,20,win,0,i2,6,6,1,120,120
501268,20,balls,20,win,0,i2,6,6,1,120,120
501269,20,balls,20,win,0,i2,6,6,1,120,120
501270,20,balls,20,balls,0,i1,6,6,1,120,120
501271,20,balls,20,balls,0,i1,6,6,1,120,120
548306,20,wickets,17,win,0,i2,6,6,1,120,120
548307,12,balls,12,win,0,i2,4,4,0,72,72
548308,20,balls,20,balls,0,i1,6,6,1,120,120
548309,20,balls,20,balls,0,i1,6,6,1,120,120
548310,20,balls,20,balls,0,i1,6,6,1,120,120
548311,20,balls,18,wickets,0,i1,6,6,1,120,120
548312,20,balls,20,wickets,0,i1,6,6,1,120,120
548313,20,balls,20,balls,0,i1,6,6,1,120,120
548314,20,balls,20,win,0,i2,6,6,1,120,120
548315,20,balls,20,balls,0,i1,6,6,1,120,120
548316,20,balls,14,win,0,i2,6,6,1,120,120
548317,20,balls,20,wickets,0,i1,6,6,1,120,120
548318,20,balls,20,win,0,i2,6,6,1,120,120
548319,19,wickets,18,win,0,i2,6,6,1,120,120
548320,20,balls,20,win,0,i2,6,6,1,120,120
548321,20,balls,20,win,0,i2,6,6,1,120,120
548322,20,balls,20,win,0,i2,6,6,1,120,120
548323,20,balls,20,balls,0,i1,6,6,1,120,120
548324,20,balls,20,wickets,0,i1,6,6,1,120,120
548325,20,wickets,15,win,0,i2,6,6,1,120,120
548326,20,balls,20,win,0,i2,6,6,1,120,120
548327,20,balls,20,win,0,i2,6,6,1,120,120
